E,N_beta,N_nu,N_nu err
2,9.36E-01,1.30E+00,4.2
2.25,7.71E-01,1.08E+00,4.2
2.5,6.35E-01,9.00E-01,4.2
2.75,5.24E-01,7.61E-01,4.2
3,4.24E-01,6.37E-01,4.2
3.25,3.40E-01,5.36E-01,4.2
3.5,2.69E-01,4.37E-01,4.2
3.75,2.11E-01,3.52E-01,4.2
4,1.64E-01,2.83E-01,4.2
4.25,1.26E-01,2.23E-01,4.2
4.5,9.71E-02,1.72E-01,4.2
4.75,7.56E-02,1.32E-01,4.2
5,5.77E-02,1.05E-01,4.2
5.25,4.37E-02,8.21E-02,4.2
5.5,3.33E-02,6.17E-02,4.2
5.75,2.48E-02,4.48E-02,4.2
6,1.81E-02,3.70E-02,4.3
6.25,1.32E-02,2.70E-02,4.3
6.5,9.28E-03,2.03E-02,4.4
6.75,6.17E-03,1.50E-02,4.4
7,3.88E-03,1.05E-02,4.7
7.25,2.36E-03,6.68E-03,4.7
7.5,1.33E-03,4.29E-03,5
7.75,6.29E-04,2.69E-03,5.4
8,2.48E-04,1.36E-03,6
8.25,1.23E-04,4.13E-04,7
8.5,6.16E-05,2.37E-04,10
8.75,2.82E-05,1.29E-04,15
9,1.17E-05,5.60E-05,27
9.25,1.03E-05,2.20E-05,31
9.5,4.50E-06,1.40E-05,56
