E,N_nu 235U,N_nu 239Pu,N_nu 238U,N_nu 241Pu
1.75,2.957,2.537,3.444,2.991
2.00,1.990,1.691,2.381,2.050
2.25,1.339,1.127,1.646,1.405
2.50,9.762E–01,8.097E–01,1.231,1.035
2.75,7.542E–01,6.151E–01,9.748E–01,8.030E–01
3.00,6.007E–01,4.807E–01,7.955E–01,6.390E–01
3.25,5.097E–01,3.937E–01,6.812E–01,5.350E–01
3.50,4.134E–01,3.089E–01,5.602E–01,4.274E–01
3.75,3.320E–01,2.395E–01,4.557E–01,3.386E–01
4.00,2.660E–01,1.849E–01,3.699E–01,2.676E–01
4.25,2.121E–01,1.417E–01,2.999E–01,2.099E–01
4.50,1.678E–01,1.066E–01,2.426E–01,1.625E–01
4.75,1.308E–01,7.916E–02,1.920E–01,1.240E–01
5.00,1.037E–01,5.986E–02,1.533E–01,9.623E–02
5.25,8.303E–02,4.665E–02,1.238E–01,7.562E–02
5.50,6.648E–02,3.686E–02,1.001E–01,5.933E–02
5.75,5.235E–02,2.838E–02,7.956E–02,4.538E–02
6.00,3.926E–02,2.013E–02,6.044E–02,3.302E–02
6.25,2.961E–02,1.486E–02,4.677E–02,2.440E–02
6.50,2.140E–02,1.058E–02,3.448E–02,1.735E–02
6.75,1.473E–02,7.157E–03,2.413E–02,1.175E–02
7.00,1.019E–02,4.853E–03,1.709E–02,7.970E–03
7.25,7.467E–03,3.517E–03,1.300E–02,5.731E–03
7.50,4.473E–03,2.016E–03,8.053E–03,3.398E–03
7.75,2.596E–03,1.121E–03,4.905E–03,2.014E–03
8.00,1.350E–03,6.328E–04,2.792E–03,1.136E–03
8.25,6.706E–04,3.624E–04,1.482E–03,6.216E–04
8.50,3.462E–04,2.014E–04,7.572E–04,3.367E–04
8.75,1.837E–04,1.011E–04,3.994E–04,1.771E–04
9.00,6.951E–05,3.282E–05,1.635E–04,6.503E–05
9.25,2.930E–05,1.267E–05,7.213E–05,2.599E–05
